id , uri
uwu , https://cdn3.emoji.gg/emojis/5007-uwu.png
py , https://s3.dualstack.us-east-2.amazonaws.com/pythondotorg-assets/media/files/python-logo-only.svg
bash , https://raw.githubusercontent.com/odb/official-bash-logo/master/assets/Logos/Icons/SVG/16x16.svg
llam , https://llamalab.com/img/automate/ic_launcher-128.png
lisp , https://upload.wikimedia.org/wikipedia/commons/4/48/Lisp_logo.svg
haskell , https://evenmere.org/~bts/haskell-logo/logo-0.svg
deb , https://www.debian.org/logos/openlogo-nd.svg
andy , https://upload.wikimedia.org/wikipedia/commons/e/e0/Android_robot_%282014-2019%29.svg
ms , https://upload.wikimedia.org/wikipedia/commons/2/25/Microsoft_icon.svg
w10 , https://upload.wikimedia.org/wikipedia/commons/4/48/Windows_logo_-_2012_%28dark_blue%29.svg
tux , https://upload.wikimedia.org/wikipedia/commons/3/3c/TuxFlat.svg
g , https://upload.wikimedia.org/wikipedia/commons/5/53/Google_%22G%22_Logo.svg
moz , https://raw.githubusercontent.com/mdn/yari/2720d1f9998be94428a822dcc06946d6a53879d0/client/src/assets/dino.svg
ff , https://upload.wikimedia.org/wikipedia/commons/a/a0/Firefox_logo%2C_2019.svg
