id	uri	title
uwu	https://cdn3.emoji.gg/emojis/5007-uwu.png	UwU emoji
py	https://s3.dualstack.us-east-2.amazonaws.com/pythondotorg-assets/media/files/python-logo-only.svg	Python isotype
bash	https://raw.githubusercontent.com/odb/official-bash-logo/master/assets/Logos/Icons/SVG/16x16.svg	 Bourne (Again) Shell icon
llam	https://llamalab.com/img/automate/ic_launcher-128.png	Llamalab's Automate icon
lisp	https://upload.wikimedia.org/wikipedia/commons/4/48/Lisp_logo.svg	Lisp isotype
haskell	https://evenmere.org/~bts/haskell-logo/logo-0.svg	Haskell isotype
deb	https://www.debian.org/logos/openlogo-nd.svg	Debian Swirl isotype
andy	https://upload.wikimedia.org/wikipedia/commons/e/e0/Android_robot_%282014-2019%29.svg	Andy The Robot (Android Mascot)
tux	https://upload.wikimedia.org/wikipedia/commons/3/3c/TuxFlat.svg	Tux The Penguin (Linux Mascot)
moz	https://raw.githubusercontent.com/mdn/yari/2720d1f9998be94428a822dcc06946d6a53879d0/client/src/assets/dino.svg	Mozilla Dino icon
ff	https://upload.wikimedia.org/wikipedia/commons/a/a0/Firefox_logo%2C_2019.svg	Firefox icon
